RECORDTIME,RMSSD,,,,,,,,,
20120101 1:00,0,0.596272687,0.42546509,0.378229364,0.273678157,0.268101299,0,0,0,0.594360846
20120101 2:00,0.05487912,0.411180161,0.363850866,0.063011972,0.086795946,0.034542253,0.014708137,0.014953952,0,0.569678987
20120101 3:00,0.110233998,0.167242796,0.297128685,0.036704474,0.006811401,0.020621359,0.035097784,0.07178487,0,0.330538724
20120101 4:00,0.165116056,0.037326166,0.235437948,0.034341525,0.018645987,0.001867149,0.045054711,0.066796456,0,0.211308354
20120101 5:00,0.156940134,0.051206338,0.120903569,0.033553875,0.034811833,0.015173538,0.050159508,0.034797407,0,0.172139682
20120101 6:00,0.168781126,0.042144441,0.071952576,0.009451796,0.021916897,0.012904598,0.052491981,0.023235034,0,0.151354466
20120101 7:00,0.114744854,0.210377418,0.090687468,0.005198488,0.01823263,0.022311247,0.039935307,0.023352906,0,0.160093085
20120101 8:00,0.085424302,0.455914986,0.073510891,0.008664146,0.009641997,0.014925373,0.04145932,0.000813708,0,0.086045847
20120101 9:00,0.153181091,0.531133134,0.035700364,0.008034026,0.005535387,0.096465416,0.166541211,0.141866452,0,0.059543217
20120101 10:00,0.139272625,0.403347154,0.105737231,0.014807813,0.01721721,0.28444476,0.189335594,0.23007663,0.224706034,0.014434204
20120101 11:00,0.083826706,0.494151763,0.149791369,0.09152489,0.309963696,0.46289928,0.167779411,0.210852898,0.296033079,0
20120101 12:00,0.14782445,0.549645909,0.138717969,0.086011342,0.725953416,0.594852342,0.187571804,0.183720555,0.212301331,0.009202974
20120101 13:00,0.138708763,0.482897325,0.125443029,0.092785129,0.749595629,0.505560086,0.281207435,0.305268248,0.194211138,0.099122541
20120101 14:00,0.22206559,0.689358236,0.094499536,0.628859483,0.705537184,0.616560901,0.335072897,0.407470522,0.094973511,0.369193814
20120101 15:00,0.241048769,0.679261956,0.151380742,0.923282924,0.832060314,0.825197055,0.276823573,0.465993415,0,0.665697186
20120101 16:00,0.24584155,0.698782608,0.183847898,0.918714556,0.869172567,0.97456896,0.277813691,0.511984473,0,0.660628238
20120101 17:00,0.239075273,0.688120518,0.239834268,0.913043478,0.840713849,0.944162796,0.246772744,0.464655036,0,0.658992242
